,name,age,season,hometown,occupation,result,city,state,job_category
536,Alicia Holloway,24,25,"Morgantown, West Virginia",Professional Ballerina,30,Morgantown, West Virginia,Entertainment
537,Kimberly Courneya,28,25,"Lake Tapps, Washington",Airline Recruiter,36,Lake Tapps, Washington,Business
538,Saneh Ste. Claire,25,25,"Vilano Beach, Florida",IT Consultant,37,Vilano Beach, Florida,Business
539,Rachel Recchia,25,26,"Clermont, Florida",Flight Instructor,3,Clermont, Florida,Business
540,Serene Russell,26,26,"Oklahoma City, Oklahoma",Elementary School Teacher,5,Oklahoma City, Oklahoma,Education
541,Sarah Hamrick,23,26,"Spartanburg, South Carolina",Wealth Management Advisor,7,Spartanburg, South Carolina,Business
542,Hunter Haag,28,26,"Lake Wylie, South Carolina",Human Resources Specialist,11,Lake Wylie, South Carolina,Business
543,Tessa Tookes,26,26,"Stamford, Connecticut",Human Resources Specialist,22,Stamford, Connecticut,Business
544,Marlena Wesh,30,26,"Virginia Beach, Virginia",Former Olympian,12,Virginia Beach, Virginia,Entertainment
545,Shanae Ankney,29,26,"Sycamore, Ohio",Recruiter,13,Sycamore, Ohio,Business
546,Erika McNutt,25,23,"Encinitas, California",Recruiter,23,Encinitas, California,Business
547,"Jillian ""Jill"" Chin",26,26,"Scituate, Rhode Island",Architectural Historian,14,Scituate, Rhode Island,Student
548,Lyndsey Windham,28,26,"Orange, Texas",Industrial Sales Representative,15,Orange, Texas,Sales and Real Estate
549,Elizabeth Corrigan,32,26,"Highlands Ranch, Colorado",Real Estate Advisor,17,Highlands Ranch, Colorado,Sales and Real Estate
550,Ivana Noble,31,26,"Snellville, Georgia",Bar Mitzvah Dancer,26,Snellville, Georgia,Entertainment
551,Jane Paik,33,26,"Santa Monica, California",Social Media Director,27,Santa Monica, California,Entertainment
552,Samantha Jeffries,26,26,"Dayton, Ohio",Occupational Therapist,30,Dayton, Ohio,Health
553,Claire Heilig,28,26,"Virginia Beach, Virginia",Spray Tanner,31,Virginia Beach, Virginia,Service
554,"Gabriella ""Gabi"" Elnicki",25,27,"Pittsford, Vermont",Senior Account Executive,2,Pittsford, Vermont,Sales and Real Estate
555,Charity Lawson,26,27,"Columbus, Georgia",Child and Family Therapist,4,Columbus, Georgia,Health
556,Brooklyn Willie,25,27,"Mineola, Texas",Rodeo Racer,6,Mineola, Texas,Service
557,"Alyssa ""Aly"" Jacobs",26,27,"Smyrna, Georgia",Healthcare Strategist,8,Smyrna, Georgia,Health
558,"Jessica ""Jess"" Girod",23,27,"Winter Springs, Florida",E-Commerce Coordinator,9,Winter Springs, Florida,Business
559,Kylee Russell,25,27,"Charlotte, North Carolina",Postpartum Nurse,10,Charlotte, North Carolina,Health
560,Mercedes Northup,24,27,"Bloomfield, Iowa",Nonprofit Case Manager,11,Bloomfield, Iowa,Business
561,Anastasia Keramidas,30,27,"Baltimore, Maryland",Content Marketing Manager,14,Baltimore, Maryland,Entertainment
562,Christina Mandrell,26,27,"Hendersonville, Tennessee",Content Creator,15,Hendersonville, Tennessee,Entertainment
563,Hannah Godwin,23,23,"Birmingham, Alabama",Content Creator,2,Birmingham, Alabama,Entertainment
564,"Catherine ""Cat"" Wong",26,27,"Bushwick, New York",Professional Dancer,18,Bushwick, New York,Entertainment
565,Kimberly Gutierrez,30,27,"Stroudsburg, Pennsylvania",Hospitality Manager,19,Stroudsburg, Pennsylvania,Service
566,Victoria Jameson,30,27,"Keller, Texas",Professional Makeup Artist,20,Keller, Texas,Service
567,Cara Ammon,27,27,"McCandless, Pennsylvania",Corporate Recruiter,22,McCandless, Pennsylvania,Business
568,Holland Parsons,24,27,"Boca Raton, Florida",Insurance Marketer,23,Boca Raton, Florida,Sales and Real Estate
569,Olivia Lewis,24,27,"Churchville, New York",Patient Care Technician,25,Churchville, New York,Health
570,Olivia Miller,25,27,"Delphos, Ohio",Stylist,26,Delphos, Ohio,Service
571,Vanessa Dinh,23,27,"Farmington Hills, Michigan",Restaurant Marketer,28,Farmington Hills, Michigan,Service
572,Whitney Bischoff,29,19,"Louisville, Kentucky",Fertility Nurse,1,Louisville, Kentucky,Health
573,Tracy Darakis,29,19,"Wellington, Florida",Fourth Grade Teacher,3,Wellington, Florida,Education
574,Tara Eddings,26,19,"Fort Lauderdale, Florida",Sport Fishing Enthusiast,4,Fort Lauderdale, Florida,Service
575,Samantha Steffen,27,19,"Indianapolis, Indiana",Fashion Designer,6,Indianapolis, Indiana,Entertainment
576,Reegan Cornwell,28,19,"Manhattan Beach, California",Cadaver Tissue Saleswoman,7,Manhattan Beach, California,Sales and Real Estate
577,Nikki Delventhal,26,19,"Hasbrouck Heights, New Jersey",Former NFL Cheerleader,8,Hasbrouck Heights, New Jersey,Entertainment
578,Michelle Davis,25,19,"Provo, Utah",Wedding Cake Baker,10,Provo, Utah,Service
579,Megan Bell,24,19,"Brentwood, Tennessee",Make-Up Artist,11,Brentwood, Tennessee,Service
580,Mackenzie Deonigi,21,19,"Maple Valley, Washington",Dental Assistant,12,Maple Valley, Washington,Health
581,Kelsey Poe,28,19,"Hudsonville, Michigan",Guidance Counselor,14,Hudsonville, Michigan,Education
582,Kara Wilson,25,19,"Brownsville, Kentucky",High School Soccer Coach,15,Brownsville, Kentucky,Education
583,Kaitlyn Bristowe,29,19,"Leduc, Alberta",Dance Instructor,16,Leduc, Alberta,Education
584,Jillian Anderson,25,19,"Howland, Ohio",News Producer,19,Howland, Ohio,Entertainment
585,Jade Roper,28,19,"Gering, Nebraska",Cosmetics Developer,20,Gering, Nebraska,Service
586,Carly Waddell,29,19,"Arlington, Texas",Cruise Ship Singer,21,Arlington, Texas,Entertainment
587,Brittany Fetkin,26,19,"Temecula, California",WWE Diva-in-Training,22,Temecula, California,Entertainment
588,Bo Stanley,25,19,"Carpinteria, California",Plus-Size Model,24,Carpinteria, California,Entertainment
589,Amanda Goerlitz,24,19,"Lake in the Hills, Illinois",Ballet Teacher,29,Lake in the Hills, Illinois,Education
590,Cassie Randolph,23,23,"Huntington Beach, California",Speech Pathologist,1,Huntington Beach, California,Education
591,Tayshia Adams,28,23,"Santa Ana, California",Phlebotomist,3,Santa Ana, California,Service
592,Caelynn Miller-Keyes,23,23,"Fredericksburg, Virginia",Miss North Carolina USA 2018,4,Fredericksburg, Virginia,Entertainment
593,Heather Martin,23,23,"Carlsbad, California",Assistant Program Manager,6,Carlsbad, California,Business
594,Hannah Brown,24,23,"Northport, Alabama",Miss Alabama USA 2018,7,Northport, Alabama,Entertainment
595,Nicole Lopez-Alvar,25,23,"Miami, Florida",Social Media Coordinator,11,Miami, Florida,Entertainment
596,Onyeka Ehie,24,23,"Manhattan, Kansas",IT Risk Consultant,12,Manhattan, Kansas,Business
597,Elyse Dehlbom,31,23,"Soldotna, Alaska",Makeup Artist,13,Soldotna, Alaska,Service
598,Courtney Curtis,23,23,"McDonough, Georgia",Caterer,14,McDonough, Georgia,Service
599,Tracy Shapoff,31,23,"Rochester, New York",Wardrobe Stylist,15,Rochester, New York,Service
600,Catherine Agro,26,23,"Fort Lauderdale, Florida",DJ,17,Fort Lauderdale, Florida,Entertainment
601,Nina Bartula,30,23,"Raleigh, North Carolina",Sales Account Manager,18,Raleigh, North Carolina,Sales and Real Estate
602,Alex Blumberg,29,23,"Vancouver, British Columbia",Dog Rescuer,20,Vancouver, British Columbia,Other
603,Angelique Sherman,28,23,"Hamilton, New Jersey",Marketing Salesperson,21,Hamilton, New Jersey,Sales and Real Estate
604,Annie Reardon,23,23,"Mequon, Wisconsin",Financial Associate,22,Mequon, Wisconsin,Business
605,Alex Dillon,23,23,"Dennis, Massachusetts",Sloth,24,Dennis, Massachusetts,Other
606,Erin Landry,28,23,"Plano, Texas",Cinderella,26,Plano, Texas,Other
607,Tahzjuan Hawkins,25,23,"Castle Pines, Colorado",Business Development Associate,30,Castle Pines, Colorado,Sales and Real Estate
